target_context_score,target_organism_score,phage_origin_score,docking_support_score,solubility_no_chaperone_score,E6_5_solubility_aggregation_chaperone_score,curated_no_external_chaperone_required_strength,curated_soluble_expression_strength,global_engineering_residual_score
0.425000,0.750000,0.100000,0.512482,0.526984,0.878307,0.000000,0.000000,0.741112
0.425000,0.750000,0.100000,0.519671,0.503503,0.839172,0.000000,0.000000,0.806131
0.425000,0.750000,0.100000,0.500372,0.525000,0.875000,0.000000,0.000000,0.787153
0.425000,0.750000,0.100000,0.493539,0.541821,0.903035,0.000000,0.000000,0.742076
0.425000,0.750000,0.100000,0.517573,0.501923,0.836539,0.000000,0.000000,0.795211
0.425000,0.750000,0.100000,0.489483,0.534518,0.890863,0.000000,0.000000,0.747705
0.425000,0.750000,0.100000,0.471989,0.532895,0.888158,0.000000,0.000000,0.764273
0.425000,0.750000,0.100000,0.444803,0.557618,0.929363,0.000000,0.000000,0.772818
0.425000,0.750000,0.100000,0.456901,0.536480,0.894133,0.000000,0.000000,0.799764
0.425000,0.750000,0.100000,0.463418,0.540756,0.901260,0.000000,0.000000,0.751303
0.425000,0.750000,0.100000,0.446122,0.553995,0.923325,0.000000,0.000000,0.765823
0.525000,0.400000,0.650000,0.304035,0.421875,0.703125,0.000000,0.000000,0.744249
0.425000,0.750000,0.100000,0.401334,0.583019,0.971698,0.000000,0.000000,0.809639
0.425000,0.750000,0.100000,0.444152,0.541526,0.902543,0.000000,0.000000,0.802309
